,Left Index,Right Index,18333 X,18333 Y,18158 X,18158 Y,Epipolar
0,0,81,265,126,187,122,0.569472906038
1,1,72,322,9,40,6,0.0473403198877
2,2,71,193,116,76,116,0.436335419923
3,3,28,294,2,0,3,0.34064964465
4,4,16,361,31,178,18,0.022898108461
5,5,62,319,45,161,37,0.811644563261
6,6,60,291,135,134,132,0.914251076951
7,7,39,266,48,77,47,0.793414989141
8,8,27,291,147,277,146,2.84859663715
9,9,49,226,103,61,102,1.368745295
10,10,35,263,166,71,165,1.00084774046
11,11,77,317,98,120,92,2.03109339767
12,12,17,217,106,117,105,0.232447967232
13,13,61,228,100,92,99,0.288425645662
14,14,37,282,86,179,80,0.218318238148
15,15,73,311,113,88,111,0.0932420325249
16,16,50,260,114,62,114,0.339155027203
17,17,33,237,93,103,91,0.612305267478
18,18,37,246,85,179,80,0.260057987761
19,19,9,321,31,205,18,0.513981262109
20,20,74,323,22,214,9,0.831763881627
21,21,22,283,110,109,108,0.26709561993
22,22,58,233,120,181,117,0.0447104242674
23,23,19,259,177,233,176,0.0982511738182
24,24,56,309,177,139,177,0.0282288232931
25,25,62,335,46,161,37,0.51594514633
26,26,35,264,167,71,165,2.00876556289
27,27,64,227,90,115,90,1.58716300481
28,28,51,240,37,68,37,0.208718619651
29,29,73,302,112,88,111,0.936238515657
30,30,65,310,85,164,79,0.103303721373
31,31,20,325,191,65,189,2.98036045294
32,32,62,219,43,161,37,1.67738260581
33,33,60,291,131,134,132,3.17710657801
34,34,58,227,119,181,117,0.966140904804
35,35,57,312,101,99,98,0.0709341297367
36,36,51,345,40,68,37,2.10326988222
37,37,23,330,44,62,40,0.0477330469299
38,38,43,298,124,140,122,0.81164088094
39,39,17,285,107,117,105,0.655797041592
40,40,44,247,174,152,173,0.439132871618
41,41,37,212,84,179,80,0.242628241886
42,42,51,270,38,68,37,0.598930380787
43,43,17,140,106,117,105,1.35685240214
44,44,49,192,101,61,102,0.136446343429
45,45,20,260,189,65,189,0.316528071591
46,46,81,249,127,187,122,1.82261678055
47,47,77,148,92,120,92,0.277674513395
48,48,77,297,98,120,92,2.54220396764
49,49,67,316,146,95,142,2.90481886033
50,50,30,199,118,102,117,0.605590743612
51,51,37,260,85,179,80,0.154153077678
52,52,18,281,61,122,53,3.54720462391
53,53,31,273,161,93,163,2.30815835286
54,54,57,332,99,99,98,2.45713591954
55,55,39,342,52,77,47,0.01299281652
56,56,19,271,177,233,176,0.159921744185
57,57,56,259,178,139,177,0.728554189863
58,58,60,301,137,134,132,2.85364623603
59,59,45,333,37,6,36,0.0711621855497
60,60,45,342,38,6,36,0.501257666403
61,61,44,318,171,152,173,2.37760186036
62,62,57,253,97,99,98,2.56459335106
63,63,77,310,97,120,92,1.18743063733
64,64,67,314,146,95,142,2.91920355306
65,65,45,328,39,6,36,2.17617034979
66,66,73,286,112,88,111,0.62698386472
67,67,45,335,38,6,36,0.837396368443
68,68,72,281,10,40,6,3.34318983059
69,69,27,310,151,277,146,1.24913438415
70,70,44,230,171,152,173,2.67275112945
71,71,31,292,164,93,163,0.732509289484
72,72,49,252,102,61,102,0.211604675171
73,73,24,200,109,89,109,0.0126963773216
74,74,53,330,25,177,13,0.281032051266
75,75,45,316,36,6,36,0.257111086656
76,76,2,232,0,35,4,1.40438952406
77,77,19,260,176,233,176,0.932278522182
78,78,46,326,27,55,23,0.16192446685
79,79,57,303,100,99,98,0.731717665517
80,80,74,343,23,214,9,0.903522488679
81,81,65,211,82,164,79,0.181150542597
