,XL,YL
0,556.29095459,418.124053955
1,556.29095459,418.124053955
2,561.229248047,419.337249756
3,545.43536377,431.76663208
4,555.960021973,441.722869873
5,552.222412109,442.391693115
6,552.222412109,442.391693115
7,548.642211914,442.878997803
8,558.301208496,442.952301025
9,632.533081055,367.768829346
10,632.533081055,367.768829346
11,616.700317383,378.170501709
12,593.95916748,397.876525879
13,742.487121582,402.259063721
14,590.790649414,410.036621094
15,564.713562012,419.520477295
16,564.713562012,419.520477295
17,572.116088867,419.694885254
18,757.85369873,419.74307251
19,757.85369873,419.74307251
20,741.419555664,422.008728027
21,753.499572754,423.304931641
22,739.702880859,425.684417725
23,548.318115234,436.634429932
24,568.856628418,444.46673584
25,553.529968262,445.689880371
26,623.071228027,373.719665527
27,598.887329102,378.851409912
28,624.48828125,383.098358154
29,624.48828125,383.098358154
30,591.607543945,406.306854248
31,561.368896484,415.550262451
32,561.368896484,415.550262451
33,561.368896484,415.550262451
34,748.558410645,423.781890869
35,560.777832031,452.675262451
36,746.030822754,415.962463379
37,757.411193848,426.088500977
38,579.046142578,373.858123779
39,762.800964355,416.10269165
40,569.352539062,432.357269287
41,568.842102051,439.763122559
42,555.262329102,449.296295166
43,609.397583008,383.330810547
44,554.059997559,472.133422852
45,553.755310059,472.415405273
46,553.755310059,472.415405273
