,XR,YR
0,464.461883545,429.106445312
1,464.461883545,429.106445312
2,690.977905273,406.095001221
3,494.645202637,444.27911377
4,702.255065918,408.47543335
5,482.626861572,426.316619873
6,701.154174805,405.969421387
7,472.402069092,421.425140381
8,701.154174805,405.969421387
9,466.00869751,414.354736328
10,466.00869751,414.354736328
11,464.490020752,424.905395508
12,503.487518311,406.577789307
13,479.17276001,422.200317383
14,503.487518311,406.577789307
15,701.154174805,405.969421387
16,701.154174805,405.969421387
17,466.00869751,414.354736328
18,467.274475098,454.184692383
19,468.168060303,421.373748779
20,508.507873535,376.357391357
21,482.558105469,430.533477783
22,514.229736328,370.053985596
23,473.017730713,417.572906494
24,459.766174316,432.504455566
25,473.017730713,417.572906494
26,473.017730713,417.572906494
27,475.424530029,469.365783691
28,690.977905273,406.095001221
29,564.65246582,384.308502197
30,503.487518311,406.577789307
31,473.017730713,417.572906494
32,479.21572876,478.811340332
33,473.017730713,417.572906494
34,473.017730713,417.572906494
35,475.904174805,449.66973877
36,472.402069092,421.425140381
37,505.203033447,703.442443848
38,681.584777832,412.676849365
39,466.00869751,414.354736328
40,459.766174316,432.504455566
41,459.766174316,432.504455566
42,475.904174805,449.66973877
43,489.445678711,416.562347412
44,475.424530029,469.365783691
45,475.424530029,469.365783691
46,475.424530029,469.365783691
