,18333 X,18333 Y,18158 X,18158 Y
0,265,126,57,14
1,322,9,162,152
2,193,116,35,4
3,294,2,218,73
4,361,31,87,179
5,319,45,83,181
6,291,135,83,83
7,266,48,54,24
8,291,147,187,84
9,226,103,205,18
10,263,166,146,110
11,317,98,62,32
12,217,106,89,99
13,228,100,168,8
14,282,86,38,24
15,311,113,139,181
16,260,114,178,18
17,237,93,117,105
18,246,85,122,53
19,321,31,233,176
20,323,22,65,189
21,283,110,95,180
22,233,120,109,108
23,259,177,62,40
24,309,177,89,109
25,335,46,83,142
26,264,167,92,111
27,227,90,277,146
28,240,37,0,3
29,302,112,50,20
30,310,85,102,117
31,325,191,93,163
32,219,43,55,39
33,291,131,103,91
34,227,119,51,3
35,312,101,71,165
36,345,40,72,180
37,330,44,179,80
38,298,124,152,182
39,285,107,77,47
40,247,174,111,98
41,212,84,188,84
42,270,38,150,180
43,140,106,140,122
44,192,101,152,173
45,260,189,6,36
46,249,127,55,23
47,148,92,168,12
48,297,98,87,99
49,316,146,61,102
50,199,118,62,114
51,260,85,68,37
52,281,61,85,185
53,273,161,177,13
54,332,99,168,15
55,342,52,119,108
56,271,177,139,177
57,259,178,99,98
58,301,137,181,117
59,333,37,157,184
60,342,38,134,132
61,318,171,92,99
62,253,97,161,37
63,310,97,110,121
64,314,146,115,90
65,328,39,164,79
66,286,112,154,152
67,335,38,95,142
68,281,10,69,158
69,310,151,166,179
70,230,171,86,83
71,292,164,76,116
72,252,102,40,6
73,200,109,88,111
74,330,25,214,9
75,316,36,76,116
76,232,0,64,24
77,260,176,120,92
78,326,27,167,23
79,303,100,159,188
80,343,23,83,99
81,211,82,187,122
